restaurant name,restaurant type,rate (out of 5),Average Customer Per Week,avg cost (two people),online_order,table booking,cuisines type,local address,Average income per Week
Alankar Restaurant,Casual Dining,2.8,40,800.0,False,False,"South Indian, North Indian, Chinese",Marathahalli,32000.0
Alankrutha,Casual Dining,3.8,260,500.0,True,False,"Andhra, Biryani, North Indian, Chinese",BTM,130000.0
Alba - JW Marriott Bengaluru,Fine Dining,4.4,561,4000.0,False,True,Italian,Lavelle Road,2244000.0
Al-Badia Restaurant,Casual Dining,4.2,89,700.0,False,False,Arabian,Kammanahalli,62300.0
Al-Baik Kabab Corner,Quick Bites,3.2,25,350.0,True,False,"Kebab, Biryani",Yeshwantpur,8750.0
Al-Baik Tandoori Restaurant,Quick Bites,3.6,113,450.0,True,False,"North Indian, Chinese, Arabian, Biryani, Rolls",Nagawara,50850.0
Al-Bek,Casual Dining,3.9,682,650.0,True,False,"North Indian, Mughlai, Chinese, Seafood",Jayanagar,443300.0
Albert Bakery,Bakery,4.3,346,150.0,False,False,"Bakery, Fast Food",Frazer Town,51900.0
Alchemy - The Chancery Pavilion,"Microbrewery, Casual Dining",4.3,446,2000.0,False,True,Modern Indian,Residency Road,892000.0
Alchemy Coffee Roasters,Cafe,4.2,704,500.0,False,False,Cafe,Jayanagar,352000.0
Alfa Family Restaurant,Casual Dining,3.0,27,400.0,False,False,"North Indian, Arabian, Chinese",Wilson Garden,10800.0
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,"Bar, Casual Dining",3.7,77,2000.0,False,True,Continental,Malleshwaram,154000.0
Al-Hyatt,Quick Bites,0.0,40,300.0,False,False,"Biryani, Chinese",Ejipura,12000.0
Ali Snacks Point,Quick Bites,3.4,5,150.0,True,False,"Chinese, Momos",Malleshwaram,750.0
Alibaba Cafe and Restaurant,Casual Dining,2.9,55,700.0,False,False,"Arabian, Middle Eastern",Kalyan Nagar,38500.0
Alibi - Maya International Hotel,Casual Dining,1.8,224,1200.0,False,False,"North Indian, Continental, Chinese",Church Street,268800.0
AlienSip,Beverage Shop,3.6,11,200.0,True,False,Juices,BTM,2200.0
Alif Restaurant,Casual Dining,3.6,26,600.0,True,False,"North Indian, Chinese",JP Nagar,15600.0
Aligarh House,Delivery,4.4,98,400.0,True,False,"North Indian, Biryani, Awadhi, Mughlai",Koramangala,39200.0
Alikemom,"Takeaway, Delivery",2.8,40,300.0,True,False,North Indian,Electronic City,12000.0
All Aromas,Quick Bites,2.8,40,400.0,True,False,"North Indian, Biryani",Jayanagar,16000.0
All Saints Bakery,Bakery,3.6,23,200.0,False,False,Bakery,Brigade Road,4600.0
All Shook Up,"Dessert Parlor, Beverage Shop",3.6,34,300.0,True,False,"Desserts, Beverages",Marathahalli,10200.0
All Shook Up!,"Dessert Parlor, Beverage Shop",3.6,19,300.0,True,False,"Desserts, Beverages",Rajajinagar,5700.0
Allahabadi Tadaka,Casual Dining,2.9,46,250.0,False,False,North Indian,Domlur,11500.0
Allana Kabab,Quick Bites,3.3,4,200.0,False,False,North Indian,Richmond Road,800.0
Alloro - The Oterra,Fine Dining,4.0,63,2500.0,False,True,Italian,Electronic City,157500.0
Al-Madina,"Takeaway, Delivery",3.3,8,500.0,False,False,"North Indian, Chinese",BTM,4000.0
Al-Madina Restaurant,Casual Dining,3.4,22,400.0,False,False,"Arabian, North Indian, Chinese, Kerala",City Market,8800.0
Al-Marhaba Restaurant,Quick Bites,2.8,40,400.0,True,False,"Arabian, Chinese, North Indian, Rolls, Momos",BTM,16000.0
Al-Noor Restaurant,Quick Bites,2.8,40,400.0,True,False,"Chinese, North Indian, Mughlai",Nagawara,16000.0
Alpha - House of Biryani & Tandoor,Casual Dining,3.3,387,800.0,True,False,"Biryani, North Indian, Chinese",Whitefield,309600.0
Al-Sidique,Quick Bites,4.0,314,400.0,True,False,"North Indian, Chinese",Vijay Nagar,125600.0
alt,"Bar, Lounge",4.1,821,1900.0,False,True,Finger Food,Whitefield,1559900.0
Altaf's Chillies Restaurant,Casual Dining,3.8,229,500.0,True,False,"North Indian, Chinese",Frazer Town,114500.0
Altaj Restaurant,Casual Dining,3.3,6,700.0,False,False,"North Indian, Chinese",Rajajinagar,4200.0
Al-Taj Restaurant,Casual Dining,3.3,10,600.0,True,False,"South Indian, North Indian, Chinese",Rajajinagar,6000.0
Alter Ego D'Deli,Cafe,3.8,140,650.0,True,False,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",Kalyan Nagar,91000.0
Alto Vino - Bengaluru Marriott Hotel Whitefield,Fine Dining,4.3,263,3000.0,False,True,"Italian, Salad",Whitefield,789000.0
AM WOW,Beverage Shop,3.4,6,100.0,True,False,Beverages,Jayanagar,600.0
Amadora Gourmet Ice Cream & Sorbet,Dessert Parlor,2.8,40,500.0,False,False,Desserts,Whitefield,20000.0
Amande Patisserie,Bakery,4.0,73,300.0,True,False,"Bakery, French, Desserts",Basavanagudi,21900.0
Amanthrana Gardenia,Casual Dining,3.8,107,800.0,True,False,"North Indian, Andhra, BBQ, Seafood, Chinese",Brookefield,85600.0
Amantrana,Casual Dining,3.2,15,800.0,False,False,"North Indian, South Indian",Magadi Road,12000.0
Amar Kolkata,Quick Bites,3.2,4,300.0,False,False,"Bengali, North Indian, Chinese",Old Airport Road,1200.0
Amara Food Point,"Takeaway, Delivery",3.3,4,250.0,False,False,South Indian,BTM,1000.0
Amaravathi Bar & Restaurant,"Casual Dining, Bar",3.7,43,400.0,False,False,"North Indian, Chinese, Seafood",Jayanagar,17200.0
Amaravathi Mess,Quick Bites,3.6,108,400.0,True,False,"Andhra, Biryani",Electronic City,43200.0
Amaravati,Quick Bites,3.6,39,400.0,False,False,"North Indian, Chinese",BTM,15600.0
Amaravati - Pure Veg Restaurant,Quick Bites,3.5,93,350.0,True,False,"South Indian, North Indian, Chinese",Kaggadasapura,32550.0
Amaravati Authentic Andhra Restaurant,Casual Dining,3.0,148,600.0,True,False,"Andhra, Chinese, North Indian, Biryani",Brookefield,88800.0
Amaravati Food Court,Quick Bites,3.3,7,300.0,True,False,Kerala,Whitefield,2100.0
Amaravati Grand,Casual Dining,3.3,7,550.0,False,False,"Chinese, Andhra, Mangalorean",BTM,3850.0
Amazing Blue Pub,Pub,3.4,10,900.0,False,False,Finger Food,Seshadripuram,9000.0
Ambara Gardenia,Casual Dining,3.8,256,800.0,True,True,"Andhra, North Indian, Chinese, Seafood",Bannerghatta Road,204800.0
Ambarsaria,Casual Dining,2.7,57,800.0,False,False,North Indian,New BEL Road,45600.0
Amber Rush by The Pool,"Bar, Casual Dining",3.9,140,1500.0,False,False,"North Indian, Chinese, Continental",Marathahalli,210000.0
Amber Rush Restobar,Pub,4.1,93,1000.0,False,True,"Continental, Chinese, Fast Food",Residency Road,93000.0
Ambika Biryani Corner,Quick Bites,3.5,37,300.0,False,False,Biryani,Rajajinagar,11100.0
Ambika Vegetarian Hotel,Casual Dining,3.7,31,500.0,False,False,"North Indian, Fast Food",Rajajinagar,15500.0
Ambujam's Chettinad Mess,"Quick Bites, Mess",3.2,27,400.0,True,False,"South Indian, Chettinad",Banaswadi,10800.0
Ambur Azad Darbar,Quick Bites,3.1,6,250.0,False,False,"North Indian, Fast Food, Biryani",BTM,1500.0
Ambur Biriyani,Quick Bites,3.2,4,200.0,False,False,Biryani,Old Airport Road,800.0
Ambur Biriyani Centre,Quick Bites,3.2,6,150.0,False,False,Biryani,Bellandur,900.0
